image_id,split,width,height
2008_000336,train,500.0,375.0
2008_000338,train,500.0,375.0
2008_000342,train,338.0,500.0
2008_000343,train,500.0,338.0
2008_000346,train,500.0,375.0
2008_000348,train,500.0,374.0
2008_000350,train,479.0,500.0
2008_000356,train,500.0,375.0
2008_000361,train,500.0,334.0
2008_000364,train,500.0,375.0
2008_000365,train,300.0,225.0
2008_000371,train,500.0,333.0
2008_000380,train,500.0,375.0
2008_000392,train,375.0,500.0
2008_000393,train,500.0,333.0
2008_000397,train,375.0,500.0
2008_000399,train,400.0,267.0
2008_000400,train,500.0,333.0
2008_000405,train,500.0,195.0
2008_000415,train,500.0,375.0
2008_000416,train,375.0,500.0
2008_000421,train,500.0,375.0
2008_000422,train,375.0,500.0
2008_000426,train,500.0,332.0
2008_000428,train,400.0,253.0
2008_000432,train,500.0,375.0
2008_000435,train,447.0,335.0
2008_000436,train,447.0,335.0
2008_000437,train,500.0,375.0
2008_000442,train,335.0,447.0
2008_000443,train,335.0,447.0
2008_000445,train,335.0,447.0
2008_000447,train,335.0,447.0
2008_000448,train,375.0,500.0
2008_000455,train,500.0,333.0
2008_000461,train,500.0,375.0
2008_000470,train,500.0,332.0
2008_000471,train,500.0,333.0
2008_000480,train,500.0,375.0
2008_000488,train,500.0,375.0
2008_000491,train,500.0,330.0
2008_000493,train,500.0,375.0
2008_000495,train,500.0,375.0
2008_000499,train,500.0,374.0
2008_000502,train,405.0,500.0
2008_000505,train,500.0,375.0
2008_000512,train,418.0,500.0
2008_000514,train,500.0,333.0
2008_000515,train,500.0,490.0
2008_000527,train,335.0,447.0
2008_000531,train,500.0,375.0
2008_000540,train,500.0,375.0
2008_000544,train,500.0,333.0
2008_000545,train,500.0,375.0
2008_000548,train,325.0,500.0
2008_000552,train,500.0,333.0
2008_000559,train,500.0,375.0
2008_000561,train,500.0,476.0
2008_000563,train,328.0,500.0
2008_000567,train,500.0,318.0
2008_000572,train,500.0,375.0
2008_000578,train,500.0,375.0
2008_000583,train,500.0,326.0
2008_000584,train,500.0,375.0
2008_000585,train,500.0,375.0
2008_000588,train,500.0,375.0
2008_000595,train,412.0,500.0
2008_000607,train,500.0,333.0
2008_000613,train,500.0,375.0
2008_000615,train,500.0,375.0
2008_000619,train,500.0,333.0
2008_000626,train,375.0,500.0
2008_000628,train,500.0,333.0
2008_000636,train,320.0,426.0
2008_000641,train,500.0,375.0
2008_000645,train,320.0,240.0
2008_000646,train,320.0,213.0
2008_000648,train,500.0,331.0
2008_000650,train,320.0,240.0
2008_000655,train,320.0,480.0
2008_000669,train,500.0,375.0
2008_000672,train,320.0,213.0
2008_000674,train,320.0,480.0
2008_000676,train,500.0,483.0
2008_000678,train,375.0,500.0
2008_000683,train,334.0,500.0
2008_000689,train,500.0,333.0
2008_000694,train,500.0,375.0
2008_000696,train,500.0,286.0
2008_000703,train,500.0,375.0
2008_000704,train,500.0,337.0
2008_000711,train,500.0,334.0
2008_000716,train,500.0,278.0
2008_000719,train,500.0,333.0
2008_000721,train,500.0,375.0
2008_000723,train,500.0,374.0
2008_000724,train,500.0,375.0
2008_000726,train,320.0,240.0
2008_000729,train,320.0,240.0
2008_000732,train,500.0,338.0
2008_000733,train,320.0,426.0
2008_000742,train,333.0,500.0
2008_000753,train,375.0,500.0
2008_000756,train,500.0,322.0
2008_000758,train,375.0,500.0
2008_000760,train,500.0,375.0
2008_000761,train,500.0,375.0
2008_000764,train,375.0,500.0
2008_000775,train,500.0,375.0
2008_000777,train,320.0,387.0
2008_000778,train,321.0,500.0
2008_000785,train,500.0,400.0
2008_000787,train,500.0,375.0
2008_000790,train,500.0,375.0
2008_000792,train,384.0,288.0
2008_000798,train,500.0,375.0
2008_000801,train,375.0,450.0
2008_000808,train,500.0,334.0
2008_000814,train,500.0,374.0
2008_000815,train,500.0,375.0
2008_000824,train,500.0,375.0
2008_000829,train,500.0,375.0
2008_000832,train,500.0,325.0
2008_000833,train,500.0,375.0
2008_000841,train,500.0,338.0
2008_000842,train,333.0,500.0
2008_000844,train,367.0,500.0
2008_000847,train,500.0,375.0
2008_000851,train,500.0,332.0
2008_000854,train,400.0,263.0
2008_000860,train,500.0,375.0
2008_000861,train,500.0,237.0
2008_000867,train,500.0,375.0
2008_000870,train,375.0,500.0
2008_000873,train,500.0,375.0
2008_000875,train,500.0,375.0
2008_000881,train,500.0,375.0
2008_000883,train,500.0,342.0
2008_000887,train,375.0,500.0
2008_000899,train,415.0,500.0
2008_000901,train,500.0,375.0
2008_000902,train,500.0,375.0
2008_000905,train,500.0,333.0
2008_000908,train,300.0,199.0
2008_000912,train,338.0,480.0
2008_000914,train,361.0,290.0
2008_000915,train,500.0,375.0
2008_000923,train,378.0,500.0
2008_000924,train,500.0,375.0
2008_000928,train,500.0,375.0
2008_000934,train,500.0,375.0
2008_000941,train,500.0,334.0
2008_000944,train,500.0,333.0
2008_000953,train,500.0,375.0
2008_000959,train,500.0,375.0
2008_000970,train,500.0,418.0
2008_000973,train,500.0,367.0
2008_000979,train,500.0,375.0
2008_000981,train,500.0,375.0
2008_000985,train,500.0,375.0
2008_000987,train,500.0,375.0
2008_000999,train,500.0,375.0
2008_001018,train,500.0,375.0
2008_001020,train,500.0,375.0
2008_001021,train,375.0,500.0
2008_001022,train,500.0,359.0
2008_001023,train,500.0,375.0
2008_001026,train,333.0,500.0
2008_001030,train,500.0,375.0
2008_001031,train,299.0,500.0
2008_001035,train,500.0,375.0
2008_001036,train,500.0,333.0
2008_001039,train,500.0,324.0
2008_001042,train,500.0,375.0
2008_001047,train,500.0,375.0
2008_001048,train,500.0,375.0
2008_001052,train,500.0,375.0
2008_001054,train,500.0,333.0
2008_001056,train,500.0,440.0
2008_001057,train,333.0,500.0
2008_001071,train,500.0,312.0
2008_001073,train,500.0,375.0
2008_001081,train,500.0,333.0
2008_001083,train,500.0,333.0
2008_001104,train,500.0,375.0
2008_001105,train,282.0,500.0
2008_001106,train,375.0,500.0
2008_001112,train,375.0,500.0
2008_001115,train,500.0,375.0
2008_001118,train,500.0,375.0
2008_001119,train,500.0,375.0
2008_001130,train,500.0,375.0
2008_001133,train,500.0,375.0
2008_001134,train,500.0,375.0
2008_001137,train,375.0,500.0
2008_001143,train,500.0,334.0
2008_001147,train,500.0,334.0
2008_001158,train,500.0,375.0
2008_001159,train,500.0,375.0
2008_001161,train,500.0,333.0
2008_001164,train,331.0,500.0
2008_001169,train,500.0,338.0
2008_001171,train,500.0,406.0
2008_001182,train,500.0,374.0
2008_001188,train,500.0,333.0
2008_001189,train,500.0,336.0
2008_001190,train,500.0,333.0
2008_001196,train,500.0,343.0
2008_001202,train,500.0,333.0
2008_001203,train,500.0,333.0
2008_001206,train,500.0,371.0
2008_001208,train,375.0,500.0
2008_001215,train,500.0,375.0
2008_001219,train,375.0,500.0
2008_001223,train,403.0,500.0
2008_001230,train,500.0,375.0
2008_001235,train,500.0,357.0
2008_001238,train,500.0,375.0
2008_001245,train,500.0,375.0
2008_001263,train,500.0,333.0
2008_001267,train,500.0,375.0
2008_001272,train,500.0,375.0
2008_001274,train,500.0,375.0
2008_001278,train,400.0,300.0
2008_001285,train,500.0,339.0
2008_001294,train,500.0,375.0
2008_001299,train,500.0,375.0
2008_001302,train,333.0,500.0
2008_001307,train,375.0,500.0
2008_001310,train,500.0,338.0
2008_001312,train,500.0,375.0
2008_001325,train,500.0,375.0
2008_001329,train,375.0,500.0
2008_001335,train,500.0,375.0
2008_001336,train,500.0,372.0
2008_001346,train,500.0,375.0
2008_001351,train,493.0,500.0
2008_001357,train,500.0,375.0
2008_001358,train,500.0,338.0
2008_001359,train,500.0,400.0
2008_001373,train,500.0,375.0
2008_001375,train,500.0,333.0
2008_001382,train,500.0,444.0
2008_001383,train,333.0,500.0
2008_001385,train,500.0,369.0
2008_001387,train,500.0,413.0
2008_001389,train,333.0,500.0
2008_001390,train,500.0,375.0
2008_001399,train,500.0,375.0
2008_001402,train,333.0,500.0
2008_001405,train,500.0,375.0
2008_001408,train,500.0,375.0
2008_001413,train,500.0,375.0
2008_001414,train,500.0,416.0
2008_001419,train,448.0,336.0
2008_001420,train,452.0,500.0
2008_001431,train,375.0,500.0
2008_001434,train,500.0,375.0
2008_001440,train,333.0,500.0
2008_001444,train,500.0,375.0
2008_001446,train,500.0,371.0
2008_001448,train,500.0,274.0
2008_001454,train,490.0,500.0
2008_001455,train,333.0,500.0
2008_001460,train,500.0,367.0
2008_001461,train,500.0,375.0
2008_001462,train,500.0,375.0
2008_001464,train,333.0,500.0
2008_001467,train,425.0,298.0
2008_001479,train,500.0,375.0
2008_001482,train,375.0,500.0
2008_001488,train,500.0,333.0
2008_001493,train,500.0,375.0
2008_001495,train,500.0,237.0
2008_001498,train,500.0,333.0
2008_001500,train,335.0,500.0
2008_001501,train,500.0,366.0
2008_001510,train,500.0,377.0
2008_001523,train,333.0,500.0
2008_001525,train,500.0,375.0
2008_001529,train,500.0,333.0
2008_001533,train,500.0,329.0
2008_001538,train,500.0,366.0
2008_001541,train,500.0,376.0
2008_001550,train,500.0,366.0
2008_001563,train,500.0,375.0
2008_001566,train,500.0,333.0
2008_001576,train,500.0,333.0
2008_001577,train,375.0,500.0
2008_001582,train,448.0,336.0
2008_001591,train,500.0,375.0
2008_001592,train,500.0,375.0
2008_001601,train,500.0,333.0
2008_001609,train,500.0,375.0
2008_001610,train,500.0,375.0
2008_001615,train,500.0,375.0
2008_001617,train,500.0,375.0
2008_001620,train,500.0,400.0
2008_001626,train,500.0,375.0
2008_001631,train,500.0,375.0
2008_001632,train,500.0,333.0
2008_001641,train,375.0,500.0
2008_001643,train,500.0,333.0
2008_001645,train,500.0,350.0
2008_001652,train,335.0,500.0
2008_001653,train,332.0,500.0
2008_001661,train,500.0,375.0
2008_001666,train,500.0,375.0
2008_001670,train,375.0,500.0
2008_001673,train,500.0,375.0
2008_001679,train,500.0,498.0
2008_001690,train,500.0,375.0
2008_001691,train,500.0,375.0
2008_001692,train,500.0,483.0
2008_001694,train,500.0,333.0
2008_001699,train,500.0,375.0
2008_001704,train,500.0,375.0
2008_001706,train,500.0,375.0
2008_001708,train,500.0,339.0
2008_001709,train,500.0,375.0
2008_001710,train,500.0,284.0
2008_001716,train,498.0,288.0
2008_001719,train,500.0,241.0
2008_001724,train,333.0,500.0
2008_001729,train,500.0,344.0
2008_001735,train,500.0,402.0
2008_001737,train,500.0,333.0
2008_001741,train,500.0,379.0
2008_001744,train,500.0,375.0
2008_001746,train,500.0,375.0
2008_001751,train,500.0,375.0
2008_001758,train,500.0,375.0
2008_001761,train,379.0,500.0
2008_001770,train,375.0,500.0
2008_001775,train,500.0,337.0
2008_001781,train,468.0,312.0
2008_001783,train,333.0,500.0
2008_001787,train,500.0,375.0
2008_001789,train,500.0,338.0
2008_001791,train,375.0,500.0
2008_001796,train,500.0,375.0
2008_001797,train,500.0,375.0
2008_001801,train,500.0,375.0
2008_001809,train,500.0,375.0
2008_001811,train,500.0,333.0
2008_001813,train,334.0,500.0
2008_001829,train,500.0,321.0
2008_001832,train,500.0,375.0
2008_001834,train,500.0,375.0
2008_001836,train,500.0,403.0
2008_001837,train,500.0,333.0
2008_001842,train,500.0,328.0
2008_001845,train,332.0,500.0
2008_001849,train,500.0,375.0
2008_001852,train,500.0,375.0
2008_001854,train,500.0,375.0
2008_001856,train,500.0,333.0
2008_001860,train,500.0,333.0
2008_001865,train,500.0,375.0
2008_001866,train,500.0,333.0
2008_001872,train,500.0,312.0
2008_001876,train,500.0,375.0
2008_001880,train,492.0,500.0
2008_001881,train,500.0,375.0
2008_001882,train,375.0,500.0
2008_001888,train,500.0,334.0
2008_001894,train,500.0,375.0
2008_001896,train,500.0,333.0
2008_001903,train,400.0,300.0
2008_001911,train,500.0,375.0
2008_001921,train,500.0,375.0
2008_001926,train,500.0,333.0
2008_001929,train,500.0,375.0
2008_001937,train,375.0,500.0
2008_001941,train,500.0,375.0
2008_001947,train,375.0,500.0
2008_001955,train,500.0,375.0
2008_001956,train,500.0,147.0
2008_001957,train,500.0,333.0
2008_001967,train,500.0,333.0
2008_001970,train,500.0,375.0
2008_001977,train,500.0,333.0
2008_001980,train,312.0,390.0
2008_001982,train,500.0,375.0
2008_001986,train,300.0,500.0
2008_001997,train,500.0,375.0
2008_002000,train,500.0,375.0
2008_002001,train,500.0,375.0
2008_002002,train,480.0,360.0
2008_002005,train,500.0,375.0
2008_002009,train,500.0,375.0
2008_002023,train,500.0,333.0
2008_002032,train,500.0,375.0
2008_002033,train,375.0,500.0
2008_002056,train,500.0,375.0
2008_002058,train,500.0,333.0
2008_002061,train,500.0,375.0
2008_002062,train,500.0,333.0
2008_002064,train,500.0,374.0
2008_002066,train,500.0,377.0
2008_002067,train,500.0,375.0
2008_002073,train,500.0,376.0
2008_002079,train,500.0,375.0
2008_002080,train,443.0,500.0
2008_002093,train,375.0,500.0
2008_002094,train,375.0,500.0
2008_002096,train,500.0,375.0
2008_002103,train,500.0,375.0
2008_002112,train,500.0,375.0
2008_002116,train,500.0,375.0
2008_002117,train,500.0,333.0
2008_002118,train,375.0,500.0
2008_002119,train,500.0,375.0
2008_002123,train,500.0,375.0
2008_002129,train,500.0,333.0
2008_002131,train,500.0,321.0
2008_002145,train,375.0,500.0
2008_002148,train,405.0,400.0
2008_002150,train,500.0,375.0
2008_002156,train,400.0,400.0
2008_002160,train,500.0,375.0
2008_002162,train,500.0,375.0
2008_002175,train,500.0,375.0
2008_002177,train,500.0,260.0
2008_002181,train,500.0,454.0
2008_002182,train,500.0,375.0
2008_002195,train,500.0,371.0
2008_002197,train,500.0,335.0
2008_002200,train,500.0,419.0
2008_002202,train,320.0,480.0
2008_002204,train,500.0,332.0
2008_002206,train,500.0,375.0
2008_002208,train,500.0,375.0
2008_002210,train,500.0,375.0
2008_002215,train,400.0,300.0
2008_002218,train,500.0,375.0
2008_002220,train,500.0,333.0
2008_002221,train,500.0,375.0
2008_002225,train,500.0,351.0
2008_002227,train,500.0,375.0
2008_002229,train,500.0,375.0
2008_002236,train,500.0,375.0
2008_002243,train,375.0,500.0
2008_002244,train,328.0,500.0
2008_002247,train,326.0,500.0
2008_002248,train,500.0,333.0
2008_002251,train,500.0,375.0
2008_002255,train,500.0,333.0
2008_002258,train,500.0,333.0
2008_002262,train,500.0,375.0
2008_002270,train,500.0,338.0
2008_002278,train,500.0,375.0
2008_002279,train,500.0,286.0
2008_002280,train,400.0,500.0
2008_002281,train,500.0,375.0
2008_002288,train,375.0,500.0
2008_002294,train,500.0,375.0
2008_002296,train,375.0,500.0
2008_002299,train,500.0,375.0
2008_002304,train,500.0,333.0
2008_002307,train,316.0,500.0
2008_002311,train,375.0,500.0
2008_002317,train,375.0,500.0
2008_002325,train,333.0,500.0
2008_002327,train,500.0,375.0
2008_002329,train,500.0,375.0
2008_002331,train,469.0,500.0
2008_002335,train,500.0,375.0
2008_002338,train,500.0,375.0
2008_002340,train,500.0,375.0
2008_002343,train,500.0,375.0
2008_002344,train,375.0,500.0
2008_002350,train,500.0,333.0
2008_002357,train,500.0,375.0
2008_002361,train,500.0,333.0
2008_002362,train,500.0,375.0
2008_002365,train,375.0,500.0
2008_002368,train,500.0,333.0
2008_002369,train,376.0,500.0
2008_002370,train,320.0,240.0
2008_002377,train,454.0,294.0
2008_002389,train,500.0,376.0
2008_002399,train,500.0,400.0
2008_002405,train,500.0,385.0
2008_002411,train,500.0,400.0
2008_002418,train,357.0,500.0
2008_002422,train,500.0,333.0
2008_002425,train,500.0,333.0
2008_002434,train,500.0,346.0
2008_002437,train,500.0,332.0
2008_002441,train,500.0,375.0
2008_002442,train,500.0,375.0
2008_002448,train,337.0,405.0
2008_002457,train,375.0,500.0
2008_002458,train,500.0,443.0
2008_002459,train,500.0,333.0
2008_002461,train,500.0,332.0
2008_002465,train,500.0,333.0
2008_002466,train,500.0,375.0
2008_002471,train,500.0,401.0
2008_002473,train,400.0,300.0
2008_002482,train,500.0,375.0
2008_002484,train,375.0,500.0
2008_002487,train,333.0,500.0
2008_002491,train,500.0,400.0
2008_002501,train,500.0,375.0
2008_002506,train,500.0,375.0
2008_002514,train,375.0,500.0
2008_002515,train,500.0,375.0
2008_002524,train,375.0,500.0
2008_002533,train,500.0,375.0
2008_002541,train,333.0,500.0
2008_002543,train,375.0,500.0
2008_002547,train,500.0,375.0
2008_002549,train,450.0,338.0
2008_002551,train,500.0,375.0
2008_002555,train,375.0,500.0
2008_002562,train,500.0,333.0
2008_002566,train,500.0,365.0
2008_002568,train,500.0,375.0
2008_002574,train,500.0,375.0
2008_002575,train,500.0,375.0
2008_002578,train,500.0,397.0
2008_002583,train,500.0,375.0
2008_002584,train,500.0,293.0
2008_002601,train,405.0,500.0
2008_002612,train,500.0,375.0
2008_002613,train,500.0,375.0
2008_002621,train,500.0,375.0
2008_002622,train,355.0,500.0
2008_002625,train,500.0,333.0
2008_002634,train,369.0,500.0
2008_002638,train,500.0,281.0
2008_002641,train,500.0,333.0
2008_002647,train,500.0,400.0
2008_002648,train,500.0,281.0
2008_002649,train,333.0,500.0
2008_002650,train,435.0,500.0
2008_002662,train,352.0,288.0
2008_002665,train,500.0,375.0
2008_002666,train,332.0,500.0
2008_002668,train,500.0,333.0
2008_002672,train,500.0,400.0
2008_002674,train,363.0,500.0
2008_002675,train,375.0,500.0
2008_002676,train,500.0,375.0
2008_002679,train,333.0,500.0
2008_002686,train,500.0,333.0
2008_002697,train,500.0,375.0
2008_002698,train,500.0,375.0
2008_002704,train,500.0,375.0
2008_002710,train,500.0,375.0
2008_002712,train,500.0,375.0
2008_002718,train,390.0,335.0
2008_002719,train,500.0,333.0
2008_002728,train,500.0,284.0
2008_002730,train,200.0,258.0
2008_002733,train,383.0,500.0
2008_002736,train,500.0,375.0
2008_002741,train,500.0,375.0
2008_002749,train,500.0,334.0
2008_002750,train,500.0,333.0
2008_002758,train,500.0,375.0
2008_002760,train,500.0,375.0
2008_002762,train,493.0,500.0
2008_002767,train,500.0,375.0
2008_002772,train,375.0,500.0
2008_002774,train,334.0,500.0
2008_002776,train,500.0,333.0
2008_002784,train,375.0,500.0
2008_002787,train,500.0,375.0
2008_002791,train,500.0,375.0
2008_002793,train,500.0,375.0
2008_002794,train,500.0,375.0
2008_002804,train,500.0,375.0
2008_002808,train,500.0,375.0
2008_002813,train,500.0,378.0
2008_002823,train,500.0,375.0
2008_002834,train,500.0,375.0
2008_002842,train,375.0,500.0
2008_002848,train,375.0,500.0
2008_002850,train,500.0,333.0
2008_002854,train,500.0,375.0
2008_002856,train,500.0,338.0
2008_002857,train,500.0,332.0
2008_002866,train,331.0,500.0
2008_002868,train,500.0,375.0
2008_002872,train,500.0,332.0
2008_002873,train,500.0,371.0
2008_002880,train,334.0,500.0
2008_002885,train,500.0,375.0
2008_002887,train,500.0,375.0
2008_002890,train,374.0,500.0
2008_002891,train,500.0,375.0
2008_002892,train,449.0,420.0
2008_002894,train,500.0,332.0
2008_002903,train,375.0,500.0
2008_002913,train,500.0,400.0
2008_002916,train,500.0,375.0
2008_002917,train,500.0,332.0
2008_002922,train,500.0,333.0
2008_002930,train,377.0,500.0
2008_002931,train,500.0,375.0
2008_002943,train,500.0,375.0
2008_002948,train,500.0,375.0
2008_002951,train,500.0,375.0
2008_002954,train,337.0,500.0
2008_002955,train,500.0,333.0
2008_002957,train,500.0,375.0
2008_002960,train,500.0,375.0
2008_002961,train,500.0,375.0
2008_002966,train,500.0,331.0
2008_002970,train,421.0,500.0
2008_002972,train,500.0,375.0
2008_002977,train,500.0,375.0
2008_002983,train,500.0,333.0
2008_002984,train,500.0,375.0
2008_002985,train,500.0,375.0
2008_002988,train,500.0,395.0
2008_002993,train,500.0,375.0
2008_002997,train,500.0,375.0
2008_003013,train,500.0,333.0
2008_003015,train,500.0,333.0
2008_003017,train,500.0,400.0
2008_003018,train,346.0,500.0
2008_003021,train,500.0,375.0
2008_003023,train,500.0,335.0
2008_003025,train,500.0,375.0
2008_003033,train,500.0,146.0
2008_003037,train,500.0,375.0
2008_003039,train,334.0,500.0
2008_003041,train,500.0,333.0
2008_003043,train,500.0,375.0
2008_003048,train,500.0,375.0
2008_003049,train,333.0,500.0
2008_003057,train,500.0,375.0
2008_003059,train,500.0,335.0
2008_003060,train,500.0,375.0
2008_003061,train,500.0,375.0
2008_003063,train,356.0,500.0
2008_003065,train,375.0,500.0
2008_003068,train,500.0,371.0
2008_003075,train,500.0,318.0
2008_003079,train,500.0,375.0
2008_003081,train,500.0,326.0
2008_003083,train,500.0,375.0
2008_003087,train,500.0,334.0
2008_003093,train,500.0,375.0
2008_003094,train,500.0,375.0
2008_003099,train,500.0,382.0
2008_003101,train,500.0,375.0
2008_003112,train,333.0,500.0
2008_003114,train,500.0,436.0
2008_003120,train,304.0,320.0
2008_003122,train,500.0,345.0
2008_003127,train,374.0,500.0
2008_003128,train,500.0,420.0
2008_003134,train,500.0,334.0
2008_003140,train,500.0,375.0
2008_003143,train,500.0,375.0
2008_003146,train,500.0,375.0
2008_003147,train,500.0,375.0
2008_003151,train,500.0,375.0
2008_003154,train,500.0,375.0
2008_003157,train,480.0,360.0
2008_003160,train,500.0,333.0
2008_003168,train,375.0,500.0
2008_003180,train,500.0,375.0
2008_003182,train,333.0,500.0
2008_003191,train,500.0,376.0
2008_003196,train,500.0,400.0
2008_003200,train,460.0,500.0
2008_003203,train,500.0,375.0
2008_003208,train,328.0,500.0
2008_003209,train,333.0,500.0
2008_003213,train,400.0,300.0
2008_003224,train,500.0,375.0
2008_003231,train,500.0,353.0
2008_003242,train,500.0,334.0
2008_003244,train,385.0,500.0
2008_003248,train,500.0,333.0
2008_003251,train,500.0,375.0
2008_003252,train,500.0,375.0
2008_003261,train,500.0,333.0
2008_003264,train,500.0,375.0
2008_003265,train,500.0,375.0
2008_003266,train,500.0,331.0
2008_003269,train,500.0,281.0
2008_003272,train,500.0,227.0
2008_003275,train,500.0,375.0
2008_003276,train,500.0,333.0
2008_003277,train,500.0,375.0
2008_003283,train,500.0,341.0
2008_003287,train,333.0,500.0
2008_003288,train,500.0,375.0
2008_003290,train,431.0,500.0
2008_003297,train,500.0,375.0
2008_003302,train,363.0,500.0
2008_003303,train,375.0,500.0
2008_003304,train,375.0,500.0
2008_003311,train,500.0,375.0
2008_003313,train,500.0,375.0
2008_003318,train,500.0,333.0
2008_003321,train,500.0,375.0
2008_003323,train,500.0,375.0
2008_003329,train,500.0,375.0
2008_003335,train,375.0,500.0
2008_003338,train,500.0,375.0
2008_003342,train,500.0,375.0
2008_003347,train,500.0,382.0
2008_003360,train,500.0,332.0
2008_003362,train,500.0,375.0
2008_003373,train,500.0,375.0
2008_003378,train,500.0,375.0
2008_003380,train,500.0,333.0
2008_003381,train,500.0,375.0
2008_003386,train,500.0,381.0
2008_003393,train,375.0,500.0
2008_003394,train,500.0,375.0
2008_003406,train,500.0,375.0
2008_003409,train,500.0,375.0
2008_003414,train,500.0,500.0
2008_003415,train,500.0,375.0
2008_003417,train,366.0,500.0
2008_003418,train,500.0,375.0
2008_003426,train,500.0,333.0
2008_003429,train,500.0,375.0
2008_003430,train,500.0,375.0
2008_003434,train,500.0,375.0
2008_003435,train,500.0,375.0
2008_003437,train,500.0,374.0
2008_003447,train,500.0,405.0
2008_003448,train,375.0,500.0
2008_003452,train,500.0,375.0
2008_003458,train,500.0,375.0
2008_003462,train,500.0,315.0
2008_003463,train,500.0,332.0
2008_003469,train,500.0,333.0
2008_003478,train,500.0,375.0
2008_003480,train,500.0,375.0
2008_003485,train,500.0,375.0
2008_003488,train,500.0,375.0
2008_003489,train,332.0,500.0
2008_003496,train,500.0,375.0
2008_003497,train,500.0,318.0
2008_003498,train,500.0,375.0
2008_003500,train,375.0,500.0
2008_003501,train,375.0,500.0
2008_003504,train,500.0,375.0
2008_003507,train,500.0,375.0
2008_003510,train,500.0,375.0
2008_003515,train,500.0,375.0
2008_003520,train,500.0,375.0
2008_003521,train,500.0,335.0
2008_003522,train,500.0,333.0
2008_003523,train,375.0,500.0
2008_003533,train,371.0,500.0
2008_003534,train,500.0,375.0
2008_003544,train,375.0,500.0
2008_003559,train,500.0,394.0
2008_003560,train,375.0,500.0
2008_003562,train,500.0,291.0
2008_003571,train,500.0,333.0
2008_003575,train,500.0,375.0
2008_003578,train,500.0,333.0
2008_003579,train,333.0,500.0
2008_003582,train,500.0,375.0
2008_003585,train,500.0,375.0
2008_003587,train,500.0,375.0
2008_003589,train,500.0,375.0
2008_003590,train,500.0,375.0
2008_003596,train,333.0,500.0
2008_003608,train,375.0,500.0
2008_003611,train,500.0,375.0
2008_003617,train,375.0,500.0
2008_003622,train,500.0,433.0
2008_003626,train,500.0,375.0
2008_003629,train,500.0,375.0
2008_003635,train,500.0,333.0
2008_003637,train,500.0,375.0
2008_003645,train,500.0,474.0
2008_003652,train,500.0,375.0
2008_003653,train,500.0,375.0
2008_003655,train,500.0,332.0
2008_003659,train,500.0,375.0
2008_003665,train,500.0,375.0
2008_003667,train,375.0,500.0
2008_003674,train,320.0,213.0
2008_003675,train,500.0,375.0
2008_003677,train,500.0,348.0
2008_003682,train,500.0,333.0
2008_003685,train,500.0,333.0
