image_id,split,cls,xmin,ymin,xmax,ymax,difficult,truncated,occluded,width,height,box_w,box_h,box_area,aspect_ratio,norm_area
2008_000202,train,person,145,38,252,333,0,1,1,500,333,108,296,31968,0.36486486486486486,0.192
2008_000202,train,person,245,152,342,280,0,1,1,500,333,98,129,12642,0.7596899224806202,0.07592792792792792
2008_000202,train,person,337,140,461,306,0,1,1,500,333,125,167,20875,0.7485029940119761,0.12537537537537538
2008_000202,train,tvmonitor,17,39,159,157,0,0,0,500,333,143,119,17017,1.2016806722689075,0.1022042042042042
2008_000202,train,bottle,430,258,454,322,0,0,0,500,333,25,65,1625,0.38461538461538464,0.00975975975975976
2008_000202,train,chair,14,169,94,258,0,1,1,500,333,81,90,7290,0.9,0.04378378378378378
2008_000207,train,person,72,54,253,434,0,0,0,334,500,182,381,69342,0.4776902887139108,0.4152215568862275
2008_000217,train,person,64,39,259,375,0,1,0,500,375,196,337,66052,0.5816023738872403,0.35227733333333333
2008_000217,train,person,238,54,423,375,0,1,0,500,375,186,322,59892,0.577639751552795,0.319424
2008_000226,train,person,386,167,407,231,0,0,0,500,375,22,65,1430,0.3384615384615385,0.007626666666666667
2008_000226,train,person,310,144,335,209,0,0,0,500,375,26,66,1716,0.3939393939393939,0.009152
2008_000226,train,person,284,96,306,152,0,0,0,500,375,23,57,1311,0.40350877192982454,0.006992
2008_000226,train,person,311,87,334,109,0,1,0,500,375,24,23,552,1.0434782608695652,0.002944
2008_000226,train,car,152,156,303,219,0,0,1,500,375,152,64,9728,2.375,0.05188266666666667
2008_000227,train,cat,120,152,424,346,0,0,0,500,375,305,195,59475,1.564102564102564,0.3172
2008_000227,train,chair,194,1,384,121,0,1,0,500,375,191,121,23111,1.578512396694215,0.12325866666666667
2008_000227,train,diningtable,1,90,468,375,0,1,1,500,375,468,286,133848,1.6363636363636365,0.713856
2008_000235,train,person,286,98,371,225,0,1,0,500,375,86,128,11008,0.671875,0.058709333333333336
2008_000235,train,boat,111,171,488,278,0,0,1,500,375,378,108,40824,3.5,0.217728
2008_000236,train,person,62,23,382,296,0,1,0,500,375,321,274,87954,1.1715328467153285,0.469088
2008_000237,train,pottedplant,75,15,93,37,1,0,0,500,375,19,23,437,0.8260869565217391,0.0023306666666666667
2008_000237,train,motorbike,1,137,32,172,0,1,0,500,375,32,36,1152,0.8888888888888888,0.006144
2008_000237,train,car,180,103,319,162,0,0,0,500,375,140,60,8400,2.3333333333333335,0.0448
2008_000237,train,person,252,293,288,375,0,0,0,500,375,37,83,3071,0.4457831325301205,0.016378666666666666
2008_000237,train,person,209,333,245,375,0,1,0,500,375,37,43,1591,0.8604651162790697,0.008485333333333333
2008_000238,train,bus,1,84,479,375,0,1,0,500,375,479,292,139868,1.6404109589041096,0.7459626666666667
2008_000252,train,person,184,58,339,375,0,0,1,500,375,156,318,49608,0.49056603773584906,0.264576
2008_000252,train,person,443,109,471,181,0,1,0,500,375,29,73,2117,0.3972602739726027,0.011290666666666666
2008_000252,train,person,165,121,204,197,0,1,0,500,375,40,77,3080,0.5194805194805194,0.016426666666666666
2008_000252,train,car,1,130,47,170,0,1,1,500,375,47,41,1927,1.146341463414634,0.010277333333333333
2008_000252,train,bus,194,14,500,195,0,1,1,500,375,307,182,55874,1.6868131868131868,0.2979946666666667
2008_000255,train,person,81,284,100,331,0,0,0,500,338,20,48,960,0.4166666666666667,0.005680473372781065
2008_000259,train,person,161,144,238,338,0,0,0,500,375,78,195,15210,0.4,0.08112
2008_000259,train,person,234,138,293,344,0,0,0,500,375,60,207,12420,0.2898550724637681,0.06624
2008_000259,train,person,369,146,424,278,0,0,1,500,375,56,133,7448,0.42105263157894735,0.03972266666666667
2008_000260,train,person,191,101,242,254,0,0,0,500,331,52,154,8008,0.33766233766233766,0.04838670694864048
2008_000260,train,car,303,87,500,231,0,1,0,500,331,198,145,28710,1.3655172413793104,0.17347432024169185
2008_000260,train,car,1,80,147,222,0,1,0,500,331,147,143,21021,1.027972027972028,0.12701510574018127
2008_000260,train,car,65,107,183,198,0,1,1,500,331,119,92,10948,1.2934782608695652,0.0661510574018127
2008_000260,train,car,223,110,259,145,1,0,1,500,331,37,36,1332,1.0277777777777777,0.008048338368580061
2008_000262,train,boat,23,143,430,330,0,0,0,500,375,408,188,76704,2.1702127659574466,0.409088
2008_000266,train,person,16,41,165,333,0,1,1,500,333,150,293,43950,0.5119453924914675,0.263963963963964
2008_000266,train,person,77,95,161,333,0,1,1,500,333,85,239,20315,0.35564853556485354,0.122012012012012
2008_000266,train,person,144,57,266,333,0,1,0,500,333,123,277,34071,0.44404332129963897,0.20463063063063064
2008_000266,train,person,220,56,292,245,0,1,1,500,333,73,190,13870,0.38421052631578945,0.08330330330330331
2008_000266,train,person,250,82,347,327,0,0,0,500,333,98,246,24108,0.3983739837398374,0.14479279279279278
2008_000266,train,person,262,53,453,333,0,1,1,500,333,192,281,53952,0.6832740213523132,0.32403603603603603
2008_000273,train,dog,184,50,443,285,0,0,0,500,375,260,236,61360,1.1016949152542372,0.32725333333333334
2008_000273,train,dog,1,158,240,319,0,1,0,500,375,240,162,38880,1.4814814814814814,0.20736
2008_000273,train,chair,1,1,464,110,0,1,0,500,375,464,110,51040,4.218181818181818,0.2722133333333333
2008_000273,train,chair,1,1,223,161,0,1,0,500,375,223,161,35903,1.3850931677018634,0.19148266666666666
2008_000275,train,person,167,187,192,274,0,0,0,500,375,26,88,2288,0.29545454545454547,0.012202666666666667
2008_000275,train,person,184,190,202,272,0,0,1,500,375,19,83,1577,0.2289156626506024,0.008410666666666667
2008_000275,train,person,197,187,231,280,0,0,0,500,375,35,94,3290,0.3723404255319149,0.017546666666666665
2008_000275,train,person,224,187,246,228,0,1,0,500,375,23,42,966,0.5476190476190477,0.005152
2008_000275,train,person,250,203,272,271,0,0,1,500,375,23,69,1587,0.3333333333333333,0.008464
2008_000275,train,person,322,199,342,269,0,0,0,500,375,21,71,1491,0.29577464788732394,0.007952
2008_000275,train,pottedplant,474,15,500,41,0,1,0,500,375,27,27,729,1.0,0.003888
2008_000275,train,pottedplant,441,16,472,37,0,0,0,500,375,32,22,704,1.4545454545454546,0.0037546666666666666
2008_000283,train,person,32,95,170,333,0,1,0,500,333,139,239,33221,0.5815899581589958,0.19952552552552552
2008_000283,train,person,387,126,436,227,0,0,0,500,333,50,102,5100,0.49019607843137253,0.03063063063063063
2008_000284,train,person,121,20,419,375,0,0,0,500,375,299,356,106444,0.8398876404494382,0.5677013333333333
2008_000284,train,pottedplant,10,1,128,323,0,0,1,500,375,119,323,38437,0.3684210526315789,0.20499733333333334
2008_000287,train,pottedplant,285,100,426,321,0,0,0,500,340,142,222,31524,0.6396396396396397,0.18543529411764706
2008_000287,train,pottedplant,3,27,226,303,0,0,0,500,340,224,277,62048,0.8086642599277978,0.36498823529411767
2008_000289,train,person,47,149,185,500,0,1,0,375,500,139,352,48928,0.39488636363636365,0.2609493333333333
2008_000290,train,person,65,49,390,358,0,1,1,500,371,326,310,101060,1.0516129032258064,0.5447978436657682
2008_000290,train,bottle,389,156,481,371,0,0,1,500,371,93,216,20088,0.4305555555555556,0.10829110512129381
2008_000290,train,diningtable,7,297,500,371,1,1,1,500,371,494,75,37050,6.586666666666667,0.19973045822102425
2008_000291,train,aeroplane,2,196,217,251,0,1,0,500,333,216,56,12096,3.857142857142857,0.07264864864864864
2008_000291,train,aeroplane,392,198,439,220,0,0,0,500,333,48,23,1104,2.0869565217391304,0.00663063063063063
2008_000297,train,person,2,87,302,296,0,0,1,500,335,301,210,63210,1.4333333333333333,0.37737313432835823
2008_000297,train,chair,87,205,230,331,0,1,0,500,335,144,127,18288,1.1338582677165354,0.1091820895522388
2008_000297,train,chair,260,188,372,331,0,0,1,500,335,113,144,16272,0.7847222222222222,0.09714626865671641
2008_000297,train,chair,5,141,121,293,0,0,1,500,335,117,153,17901,0.7647058823529411,0.10687164179104477
2008_000297,train,person,225,113,355,335,0,1,1,500,335,131,223,29213,0.5874439461883408,0.17440597014925374
2008_000309,train,tvmonitor,1,40,98,222,1,1,1,500,373,98,183,17934,0.5355191256830601,0.09616085790884718
2008_000309,train,tvmonitor,240,159,413,329,0,0,0,500,373,174,171,29754,1.0175438596491229,0.15953887399463806
2008_000311,train,person,240,66,440,306,0,1,0,500,333,201,241,48441,0.8340248962655602,0.29093693693693695
2008_000311,train,person,21,74,244,309,0,1,0,500,333,224,236,52864,0.9491525423728814,0.3175015015015015
2008_000311,train,diningtable,57,302,500,333,1,1,0,500,333,444,32,14208,13.875,0.08533333333333333
2008_000311,train,person,70,141,105,173,0,1,0,500,333,36,33,1188,1.0909090909090908,0.007135135135135135
2008_000311,train,person,215,117,276,194,1,1,1,500,333,62,78,4836,0.7948717948717948,0.029045045045045046
2008_000313,train,person,73,45,332,375,0,1,1,500,375,260,331,86060,0.7854984894259819,0.45898666666666665
2008_000315,train,car,208,209,263,235,0,0,0,500,375,56,27,1512,2.074074074074074,0.008064
2008_000315,train,car,347,200,384,220,0,1,1,500,375,38,21,798,1.8095238095238095,0.004256
2008_000315,train,bus,379,178,439,217,1,0,1,500,375,61,40,2440,1.525,0.013013333333333333
2008_000315,train,person,132,208,141,234,1,0,0,500,375,10,27,270,0.37037037037037035,0.00144
2008_000315,train,person,138,216,147,233,1,0,0,500,375,10,18,180,0.5555555555555556,0.00096
2008_000315,train,motorbike,285,199,306,212,1,0,1,500,375,22,14,308,1.5714285714285714,0.0016426666666666666
2008_000316,train,person,75,95,396,375,0,1,0,500,375,322,281,90482,1.1459074733096086,0.48257066666666665
2008_000318,train,bird,1,79,382,500,0,1,0,403,500,382,422,161204,0.9052132701421801,0.8000198511166253
2008_000330,train,dog,88,59,500,375,0,1,1,500,375,413,317,130921,1.3028391167192428,0.6982453333333334
2008_000330,train,person,165,1,500,375,0,1,1,500,375,336,375,126000,0.896,0.672
2008_000335,train,cow,93,89,360,260,0,0,1,500,292,268,172,46096,1.558139534883721,0.3157260273972603
2008_000335,train,cow,1,93,110,224,0,1,1,500,292,110,132,14520,0.8333333333333334,0.09945205479452054
2008_000335,train,cow,441,173,489,191,1,0,0,500,292,49,19,931,2.5789473684210527,0.006376712328767123
2008_000335,train,cow,360,175,391,189,1,0,0,500,292,32,15,480,2.1333333333333333,0.0032876712328767125
2008_000336,train,dog,115,119,317,316,0,0,0,500,375,203,198,40194,1.0252525252525253,0.214368
2008_000338,train,person,338,72,500,375,0,1,0,500,375,163,304,49552,0.5361842105263158,0.2642773333333333
2008_000338,train,person,12,56,185,375,0,1,0,500,375,174,320,55680,0.54375,0.29696
2008_000338,train,diningtable,130,236,342,375,0,1,1,500,375,213,140,29820,1.5214285714285714,0.15904
2008_000342,train,person,114,258,147,356,0,0,0,338,500,34,99,3366,0.3434343434343434,0.01991715976331361
2008_000343,train,person,359,162,410,301,0,0,0,500,338,52,140,7280,0.37142857142857144,0.043076923076923075
2008_000343,train,train,1,1,332,338,0,1,0,500,338,332,338,112216,0.9822485207100592,0.664
2008_000343,train,person,422,180,438,223,0,0,0,500,338,17,44,748,0.38636363636363635,0.00442603550295858
2008_000346,train,person,123,67,216,309,0,0,0,500,375,94,243,22842,0.3868312757201646,0.121824
2008_000346,train,car,186,130,462,330,0,0,0,500,375,277,201,55677,1.3781094527363185,0.296944
2008_000346,train,car,1,98,133,290,0,1,0,500,375,133,193,25669,0.689119170984456,0.13690133333333335
2008_000348,train,tvmonitor,185,157,279,265,0,0,0,500,374,95,109,10355,0.8715596330275229,0.05537433155080214
2008_000348,train,tvmonitor,274,82,364,200,0,0,0,500,374,91,119,10829,0.7647058823529411,0.05790909090909091
2008_000350,train,bird,155,42,479,405,0,1,0,479,500,325,364,118300,0.8928571428571429,0.4939457202505219
2008_000350,train,bird,14,170,181,500,0,1,1,479,500,168,331,55608,0.5075528700906344,0.2321837160751566
2008_000356,train,car,141,195,211,241,0,0,0,500,375,71,47,3337,1.5106382978723405,0.01779733333333333
2008_000361,train,bird,67,62,405,334,0,0,0,500,334,339,273,92547,1.2417582417582418,0.5541736526946108
2008_000364,train,person,99,123,275,375,0,1,1,500,375,177,253,44781,0.6996047430830039,0.238832
2008_000364,train,person,219,139,404,370,0,1,1,500,375,186,232,43152,0.8017241379310345,0.230144
2008_000365,train,person,168,129,263,225,0,1,0,300,225,96,97,9312,0.9896907216494846,0.13795555555555555
2008_000371,train,horse,189,129,374,276,0,0,1,500,333,186,148,27528,1.2567567567567568,0.16533333333333333
2008_000371,train,horse,191,146,216,179,1,0,1,500,333,26,34,884,0.7647058823529411,0.005309309309309309
2008_000371,train,person,259,95,305,208,0,0,1,500,333,47,114,5358,0.41228070175438597,0.03218018018018018
2008_000380,train,person,337,208,500,375,0,1,0,500,375,164,168,27552,0.9761904761904762,0.146944
2008_000380,train,person,140,249,325,375,0,1,1,500,375,186,127,23622,1.4645669291338583,0.125984
2008_000380,train,person,26,269,154,375,0,1,1,500,375,129,107,13803,1.205607476635514,0.073616
2008_000392,train,person,115,161,226,500,0,1,0,375,500,112,340,38080,0.32941176470588235,0.20309333333333332
2008_000392,train,person,315,178,375,500,1,1,0,375,500,61,323,19703,0.18885448916408668,0.10508266666666667
2008_000392,train,person,282,179,334,388,0,0,0,375,500,53,210,11130,0.2523809523809524,0.05936
2008_000393,train,person,69,94,137,313,0,0,0,500,333,69,220,15180,0.31363636363636366,0.09117117117117117
2008_000393,train,person,144,106,208,315,0,0,0,500,333,65,210,13650,0.30952380952380953,0.08198198198198198
2008_000393,train,person,221,122,282,317,0,0,0,500,333,62,196,12152,0.3163265306122449,0.07298498498498499
2008_000393,train,person,17,110,67,243,0,0,1,500,333,51,134,6834,0.3805970149253731,0.041045045045045046
2008_000393,train,person,426,167,460,229,0,0,0,500,333,35,63,2205,0.5555555555555556,0.013243243243243243
2008_000393,train,person,430,218,490,320,0,0,1,500,333,61,103,6283,0.5922330097087378,0.037735735735735736
2008_000393,train,person,384,162,429,225,0,0,1,500,333,46,64,2944,0.71875,0.01768168168168168
2008_000393,train,person,208,116,241,173,0,1,1,500,333,34,58,1972,0.5862068965517241,0.011843843843843843
2008_000393,train,person,267,131,297,195,0,1,1,500,333,31,65,2015,0.47692307692307695,0.012102102102102103
2008_000393,train,person,347,150,383,240,0,0,1,500,333,37,91,3367,0.4065934065934066,0.02022222222222222
2008_000393,train,motorbike,196,178,355,307,0,0,1,500,333,160,130,20800,1.2307692307692308,0.12492492492492492
2008_000393,train,motorbike,274,163,380,293,0,0,1,500,333,107,131,14017,0.816793893129771,0.08418618618618619
2008_000393,train,person,108,91,149,167,0,1,1,500,333,42,77,3234,0.5454545454545454,0.019423423423423423
2008_000393,train,person,1,112,25,156,0,1,1,500,333,25,45,1125,0.5555555555555556,0.006756756756756757
2008_000393,train,bottle,429,228,439,246,1,1,0,500,333,11,19,209,0.5789473684210527,0.0012552552552552553
2008_000393,train,bottle,423,226,431,248,1,1,0,500,333,9,23,207,0.391304347826087,0.0012432432432432433
2008_000393,train,bottle,418,230,427,250,1,1,0,500,333,10,21,210,0.47619047619047616,0.0012612612612612612
2008_000393,train,bottle,410,229,419,261,1,1,0,500,333,10,33,330,0.30303030303030304,0.001981981981981982
2008_000397,train,chair,1,333,189,500,0,1,0,375,500,189,168,31752,1.125,0.169344
2008_000397,train,diningtable,17,284,375,500,0,1,1,375,500,359,217,77903,1.6543778801843319,0.41548266666666667
2008_000397,train,chair,61,269,216,469,0,0,1,375,500,156,201,31356,0.7761194029850746,0.167232
2008_000397,train,chair,150,259,267,443,0,0,1,375,500,118,185,21830,0.6378378378378379,0.11642666666666666
2008_000397,train,chair,321,257,375,419,0,1,1,375,500,55,163,8965,0.3374233128834356,0.04781333333333333
2008_000399,train,car,25,87,378,201,0,0,0,400,267,354,115,40710,3.0782608695652174,0.38117977528089886
2008_000400,train,bird,216,157,297,234,0,0,0,500,333,82,78,6396,1.0512820512820513,0.03841441441441441
2008_000405,train,boat,383,102,500,139,0,1,0,500,195,118,38,4484,3.1052631578947367,0.04598974358974359
2008_000405,train,boat,88,101,383,138,0,0,0,500,195,296,38,11248,7.7894736842105265,0.11536410256410257
